"COMPLAINTNUMBER","ACCIDENTDATE","YEAR","MILITARYTIME","DAYOFWEEK","ACCIDENTTYPE","NUMINVOLVED","NUMINJURED","NUMFATALITIES","FEETFROMINTERSECTION","CITYQUADRANT","CONSTRUCTION","ONSTREET","COLLISIONTYPE","WEATHER","TRAFFICCONDITION","ROADWAYTYPE","TRAFFICCONTROL","MPDLOCATION","CRASHDURATION","LATITUDE","LONGITUDE","TAXIINVOLVED","TOURBUSINVOLVED","MILITARYHOUR","ACCIDENTDATETIME"
15039604,2015-03-21,2015,"1900","Saturday","",2,0,0,0,"NW","N","Not at Intersection","Parked Vehicle","Clear","Unknown","Two-Way, Not Divided","None","3127 N STREET NW",165,38.906978,-77.062214,"","","19",2015-03-21 19:00:00
15042707,2015-03-27,2015,"1500","Friday","Prop. Damage",2,0,0,40,"NW","N","Not at Intersection","Left Turn Hit Veh.","Clear","Light","Two-Way, Divided Unprotected","None","3024 TILDEN STREET NW",50,38.94042,-77.06335,"","","15",2015-03-27 15:00:00
15038658,2015-03-20,2015,"0711","Friday","",2,0,0,0,"NW","N","At Intersection","Left Turn Hit Veh.","Rain","Medium","Two-Way, Not Divided","None","VOLTA PL NW / WISCONSIN AVE NW",0,38.909825,-77.064616,"","","7",2015-03-20 07:11:00
15035018,2015-03-13,2015,"1144","Friday","Prop. Damage",2,0,0,0,"NW","N","At Intersection","Right Angle","Clear","Medium","Two-Way, Not Divided","Stop Sign","33RD PL NW / CLEVELAND AVE NW",76,38.92903,-77.06525,"","","11",2015-03-13 11:44:00
15040616,2015-03-23,2015,"1800","Monday","",2,0,0,0,"NW","N","Within 100ft of Intersection","Parked Vehicle","Clear","Unknown","One-Way, Not Divided","Signal","3237 P STREET NW",15,38.908971,-77.064568,"","","18",2015-03-23 18:00:00
15037233,2015-03-17,2015,"1510","Tuesday","Prop. Damage",2,0,0,0,"NW","N","Within 100ft of Intersection","Backing Hit Moving Veh.","Clear","Light","One-Way, Not Divided","None","1203 POTOMAC ST NW",1,38.905312,-77.065128,"","","15",2015-03-17 15:10:00
15037342,2015-03-17,2015,"1834","Tuesday","Prop. Damage",2,0,0,100,"NW","N","Within 100ft of Intersection","Left Turn Hit Veh.","Clear","Heavy","Two-Way, Not Divided","None","4300 CONNECTICUT AVE NW",0,38.945566,-77.064376,"","","18",2015-03-17 18:34:00
15033515,2015-03-10,2015,"1447","Tuesday","Prop. Damage",2,0,0,0,"NW","N","N/A","Right Angle","Rain","Heavy","One-Way, Not Divided","None","2175 K STREET NW",3,38.902874,-77.048446,"","","14",2015-03-10 14:47:00
15036535,2015-03-16,2015,"0851","Monday","Prop. Damage",2,0,0,0,"NW","Y","Within 100ft of Intersection","Side Swiped","Clear","Heavy","One-Way, Not Divided","None","2100 M STREET NW",0,38.904865,-77.047004,"","","8",2015-03-16 08:51:00
15043252,2015-03-28,2015,"1115","Saturday","Prop. Damage",2,0,0,0,"NW","Y","Within 100ft of Intersection","Backing Hit Parked Veh.","Clear","Other","One-Way, Not Divided","None","2100 M STREET NW",0,38.904865,-77.047004,"","","11",2015-03-28 11:15:00
15034451,2015-03-10,2015,"1312","Tuesday","Injury",2,3,0,1000,"NW","N","At Intersection","Right Angle","Rain","Light","Two-Way, Divided Unprotected","None","2120 P STREET NW",0,38.90941,-77.047322,"","","13",2015-03-10 13:12:00
15038200,2015-03-19,2015,"1100","Thursday","Prop. Damage",2,0,0,50,"NW","N","Within 100ft of Intersection","Side Swiped","Clear","Heavy","Two-Way, Not Divided","Signal","1100 24TH ST NW",0,38.903877,-77.051468,"","","11",2015-03-19 11:00:00
15040530,2015-03-20,2015,"1740","Friday","Prop. Damage",2,0,0,0,"NW","N","Within 100ft of Intersection","Side Swiped","Unknown","Unknown","Two-Way, Divided Unprotected","Stop Sign","922 24TH ST NW",0,38.901499,-77.051468,"","","17",2015-03-20 17:40:00
15032031,2015-03-07,2015,"1312","Saturday","Prop. Damage",2,0,0,0,"NW","N","N/A","Backing Hit Parked Veh.","Clear","Light","Other","None","2121 P ST NW",0,38.909985,-77.047447,"","","13",2015-03-07 13:12:00
15033093,2015-03-09,2015,"1915","Monday","Prop. Damage",2,0,0,30,"NW","N","Within 100ft of Intersection","Backing Hit Parked Veh.","Clear","Unknown","Two-Way, Divided Positive","None","1505 22ND ST NW",0,38.909924,-77.048462,"","","19",2015-03-09 19:15:00
15036572,2015-03-16,2015,"0942","Monday","Prop. Damage",2,0,0,0,"NW","N","At Intersection","Right Angle","Clear","Light","Two-Way, Divided Unprotected","Stop Sign","FLORIDA AVE NW / HILLYER CT NW",0,38.912257,-77.047873,"","","9",2015-03-16 09:42:00
15036521,2015-03-16,2015,"0745","Monday","Injury",2,1,0,0,"NW","N","Not at Intersection","Rear End","Clear","Medium","Two-Way, Divided Positive","None","1500 22ND ST NW",3,38.909758,-77.048902,"","","7",2015-03-16 07:45:00
15039799,2015-03-22,2015,"0349","Sunday","",2,0,0,0,"NW","N","Within 100ft of Intersection","Right Angle","Clear","Light","Other","Signal","2201 K STREET NW",1,38.902785,-77.049069,"","","3",2015-03-22 03:49:00
15037852,2015-03-18,2015,"1357","Wednesday","Prop. Damage",2,0,0,70,"NW","N","Within 100ft of Intersection","Parked Vehicle","Clear","","Two-Way, Divided Unprotected","None","2100 PENNSYLVANIA AVENUE NW",1,38.901035,-77.04721,"","","13",2015-03-18 13:57:00
15037114,2015-03-17,2015,"1015","Tuesday","Injury",2,1,0,0,"NW","N","Within 100ft of Intersection","Side Swiped","Clear","Medium","Two-Way, Divided Unprotected","Signal","2111 Q STREET NW",0,38.911334,-77.047189,"","","10",2015-03-17 10:15:00
15033097,2015-03-09,2015,"1950","Monday","Injury",1,1,0,0,"NW","N","At Intersection","Left Turn Hit Ped.","Clear","Heavy","Two-Way, Not Divided","Signal","2303 CONNECTICUT AVE NW",1,38.918707,-77.048084,"Yes","","19",2015-03-09 19:50:00
15038846,2015-03-20,2015,"1445","Friday","",2,0,0,0,"NW","N","N/A","Rear End","Clear","Medium","One-Way, Not Divided","None","2131 K STREET NW",1,38.902892,-77.047666,"","","14",2015-03-20 14:45:00
15031577,2015-03-06,2015,"2056","Friday","Prop. Damage",2,0,0,0,"NW","N","Within 100ft of Intersection","Rear End","Clear","Medium","One-Way, Not Divided","Signal","22ND ST NW / M ST NW",0,38.90527,-77.04881,"","","20",2015-03-06 20:56:00
15034054,2015-03-11,2015,"1630","Wednesday","Prop. Damage",2,0,0,25,"NW","N","Within 100ft of Intersection","Parked Vehicle","Unknown","Unknown","One-Way, Not Divided","Unknown","2100 WARD PL NW",15,38.905894,-77.047176,"","","16",2015-03-11 16:30:00
15043644,2015-03-29,2015,"0327","Sunday","Prop. Damage",2,0,0,0,"NW","Y","Within 100ft of Intersection","Side Swiped","Clear","Light","One-Way, Not Divided","Signal","1200 22ND ST NW",0,38.905408,-77.048868,"","","3",2015-03-29 03:27:00
15032086,2015-03-07,2015,"1937","Saturday","Prop. Damage",2,0,0,0,"NW","N","Within 100ft of Intersection","Side Swiped","Clear","Medium","One-Way, Not Divided","None","2200 PENNSYLVANIA AVE NW",0,38.901547,-77.049393,"","","19",2015-03-07 19:37:00
15038170,2015-03-19,2015,"0650","Thursday","",2,0,0,70,"NW","N","Within 100ft of Intersection","Parked Vehicle","Clear","Unknown","One-Way, Not Divided","Stop Sign","2000 G ST NW",180,38.898026,-77.045197,"","","6",2015-03-19 06:50:00
15037254,2015-03-17,2015,"1510","Tuesday","Prop. Damage",2,0,0,0,"NW","N","Within 100ft of Intersection","Parked Vehicle","Clear","Medium","Two-Way, Not Divided","Stop Sign","22ND ST NW / H ST NW",66,38.89958,-77.04884,"","","15",2015-03-17 15:10:00
15038829,2015-03-20,2015,"1436","Friday","",1,1,0,0,"NW","N","At Intersection","Straight Hit Ped.","Rain","Medium","One-Way, Not Divided","Signal","1300 22ND ST NW",1,38.907378,-77.048866,"","","14",2015-03-20 14:36:00
15031357,2015-03-06,2015,"1315","Friday","Prop. Damage",2,0,0,0,"NW","N","Not at Intersection","Backing Hit Moving Veh.","Clear","Light","Two-Way, Divided Positive","None","200 22ND ST NW",7,38.906731,-77.048796,"","","13",2015-03-06 13:15:00
15031150,2015-03-05,2015,"1850","Thursday","Prop. Damage",1,0,0,0,"","N","Not at Intersection","Ran Off Roadway","Snow","Unknown","Two-Way, Not Divided","None","5831 Potomac Avenue",10,38.840389,-77.049351,"","","18",2015-03-05 18:50:00
15034447,2015-03-12,2015,"1030","Thursday","",2,0,0,40,"NW","N","Within 100ft of Intersection","Rear End","Clear","Medium","Two-Way, Divided Positive","None","1500 22ND ST NW",0,38.909768,-77.048856,"","","10",2015-03-12 10:30:00
15029683,2015-03-02,2015,"1710","Monday","Prop. Damage",2,0,0,0,"NW","N","At Intersection","Side Swiped","Clear","Medium","One-Way, Not Divided","Signal","22ND ST NW / K ST NW",1,38.90265,-77.04882,"","","17",2015-03-02 17:10:00
15040859,2015-03-24,2015,"0812","Tuesday","Prop. Damage",2,0,0,0,"NW","N","At Intersection","Override","Clear","Heavy","One-Way, Not Divided","Signal","22ND ST NW / L ST NW",0,38.903747,-77.04882,"Yes","","8",2015-03-24 08:12:00
15033849,2015-03-11,2015,"0849","Wednesday","Prop. Damage",2,0,0,0,"NW","N","At Intersection","Rear End","Rain","Medium","Two-Way, Divided Unprotected","Signal","22ND ST NW / FLORIDA AVE NW",0,38.911467,-77.048688,"","","8",2015-03-11 08:49:00
15044408,2015-03-30,2015,"1730","Monday","Prop. Damage",2,0,0,0,"NW","N","At Intersection","Side Swiped","Clear","Heavy","One-Way, Not Divided","Signal","1177 22ND ST NW",1,38.905,-77.048753,"","","17",2015-03-30 17:30:00
15033844,2015-03-11,2015,"0900","Wednesday","Injury",2,2,0,0,"NW","N","Within 100ft of Intersection","Other","Clear","Medium","Two-Way, Divided Unprotected","Signal","22ND ST NW / Q ST NW",5,38.91112,-77.048738,"","","9",2015-03-11 09:00:00
15045104,2015-03-31,2015,"2321","Tuesday","Injury",2,1,0,0,"NW","N","At Intersection","Left Turn Hit Veh.","Clear","Medium","Two-Way, Divided Unprotected","Signal","22ND ST NW / Q ST NW",1,38.91114,-77.0488,"","","23",2015-03-31 23:21:00
15034392,2015-03-12,2015,"0915","Thursday","",2,0,0,100,"NW","N","Within 100ft of Intersection","Side Swiped","Clear","Heavy","Two-Way, Not Divided","None","22ND ST NW / PENNSYLVANIA AVE NW",1,38.90209,-77.04883,"","","9",2015-03-12 09:15:00
15035497,2015-03-14,2015,"0250","Saturday","",2,0,0,0,"NW","N","Not at Intersection","Parked Vehicle","Rain","Light","Other","None","2000 K ST NW",0,38.902279,-77.045184,"","","2",2015-03-14 02:50:00
15035207,2015-03-13,2015,"1706","Friday","Injury",2,1,0,0,"SE","N","Within 100ft of Intersection","Rear End","Clear","Heavy","Other","None","2200 PENNSYLVANIA AVENUE SE",4,38.901937,-77.049274,"","","17",2015-03-13 17:06:00
15042149,2015-03-26,2015,"1630","Thursday","Prop. Damage",2,0,0,0,"NW","N","Not at Intersection","Side Swiped","Clear","Heavy","Two-Way, Divided Positive","None","1825 CONNECTICUT AVENUE NW",0,38.915103,-77.045721,"Yes","","16",2015-03-26 16:30:00
15031727,2015-03-07,2015,"0153","Saturday","Prop. Damage",2,0,0,0,"NW","N","At Intersection","Right Angle","Clear","Light","Two-Way, Divided Positive","Signal","CONNECTICUT AVE NW / R ST NW",1,38.912609,-77.045056,"","","1",2015-03-07 01:53:00
15044705,2015-03-31,2015,"1011","Tuesday","",2,0,0,0,"NW","N","Not at Intersection","Side Swiped","Clear","Light","Two-Way, Divided Positive","None","1711 CONNECTICUT AVENUE NW",0,38.913101,-77.045146,"","","10",2015-03-31 10:11:00
15034613,2015-03-12,2015,"1723","Thursday","Prop. Damage",2,0,0,0,"NW","N","Not at Intersection","Side Swiped","Clear","Heavy","Two-Way, Divided Unprotected","Signal","2000 K STREET NW",0,38.902112,-77.045276,"","","17",2015-03-12 17:23:00
15033364,2015-03-10,2015,"1017","Tuesday","Prop. Damage",2,0,0,0,"NW","N","At Intersection","Left Turn Hit Veh.","Clear","Light","Two-Way, Divided Positive","Signal","20TH ST NW / VIRGINIA AVE NW",0,38.894467,-77.04527,"","","10",2015-03-10 10:17:00
15030266,2015-03-03,2015,"1901","Tuesday","Prop. Damage",2,0,0,40,"NW","N","Within 100ft of Intersection","Rear End","Rain","Heavy","Two-Way, Not Divided","None","2000 FLORIDA AVE NW",2,38.914639,-77.045235,"","","19",2015-03-03 19:01:00
15032197,2015-03-08,2015,"29","Sunday","Injury",2,0,0,0,"NW","N","At Intersection","Rear End","Clear","Light","Two-Way, Divided Unprotected","Other","1930 COLUMBIA RD NW",0,38.918227,-77.045246,"","","",NA
15038235,2015-03-19,2015,"1226","Thursday","Prop. Damage",2,0,0,5,"NW","N","Within 100ft of Intersection","Right Turn Hit Veh.","Clear","Medium","Two-Way, Not Divided","Signal","1919 CONNECTICUT AVENUE NW",0,38.916464,-77.045237,"Yes","","12",2015-03-19 12:26:00
15038926,2015-03-20,2015,"1725","Friday","Prop. Damage",2,0,0,0,"NW","N","At Intersection","Side Swiped","Clear","Heavy","Other","None","21 ST NW / CONSTITUTION AVE NW",0,38.89209,-77.04669,"","","17",2015-03-20 17:25:00
15041982,2015-03-26,2015,"1029","Thursday","",2,0,0,0,"NW","N","Within 100ft of Intersection","Side Swiped","Rain","Unknown","Two-Way, Divided Positive","Signal","2029 K ST NW",1,38.902862,-77.046127,"","","10",2015-03-26 10:29:00
15044821,2015-03-31,2015,"1205","Tuesday","Prop. Damage",1,0,0,10,"NW","N","At Intersection","Ran Off Roadway","Clear","Light","Two-Way, Not Divided","Stop Sign","4207 BLAGDEN AVENUE NW",5,38.942487,-77.046099,"","","12",2015-03-31 12:05:00
15032270,2015-03-08,2015,"0337","Sunday","Prop. Damage",2,0,0,0,"NW","N","At Intersection","Left Turn Hit Veh.","Clear","Medium","Two-Way, Not Divided","Stop Sign","BELMONT RD NW / COLUMBIA RD NW",1,38.92057,-77.04394,"Yes","","3",2015-03-08 03:37:00
15038306,2015-03-19,2015,"1400","Thursday","Prop. Damage",2,0,0,0,"NW","N","Other","Backing Hit Parked Veh.","Clear","Medium","Two-Way, Not Divided","None","1510 19TH STREET NW",0,38.91076,-77.043654,"","","14",2015-03-19 14:00:00
15038228,2015-03-19,2015,"1225","Thursday","Prop. Damage",2,0,0,50,"NW","N","Within 100ft of Intersection","Side Swiped","Clear","Medium","One-Way, Not Divided","Signal","1990 M ST NW",5,38.905369,-77.044533,"Yes","","12",2015-03-19 12:25:00
15042776,2015-03-27,2015,"1655","Friday","",2,0,0,0,"NW","N","Within 100ft of Intersection","Side Swiped","Clear","Medium","Two-Way, Not Divided","None","1900 PENNSYLVANIA AVE NW",0,38.899997,-77.044265,"","","16",2015-03-27 16:55:00
15037083,2015-03-17,2015,"0938","Tuesday","Prop. Damage",2,0,0,0,"NW","N","At Intersection","Side Swiped","Other","Heavy","One-Way, Not Divided","Signal","20TH ST NW / E ST NW",7,38.89601,-77.04491,"","","9",2015-03-17 09:38:00
15040567,2015-03-23,2015,"1716","Monday","",1,1,0,0,"NW","N","At Intersection","Left Turn Hit Ped.","Clear","Heavy","One-Way, Not Divided","Signal","20TH ST NW / E ST NW",0,38.89601,-77.04491,"","","17",2015-03-23 17:16:00
15041698,2015-03-25,2015,"1730","Wednesday","",2,0,0,0,"NW","N","At Intersection","Left Turn Hit Veh.","Clear","Heavy","One-Way, Not Divided","Signal","20TH ST NW / PENNSYLVANIA AVE NW",0,38.9007,-77.04491,"Yes","","17",2015-03-25 17:30:00
15036234,2015-03-15,2015,"1420","Sunday","Prop. Damage",2,0,0,0,"NW","N","At Intersection","Side Swiped","Clear","Heavy","Two-Way, Divided Unprotected","Signal","20TH ST NW / MASSACHUSETTS AVE NW",0,38.910145,-77.044885,"","","14",2015-03-15 14:20:00
15030491,2015-03-04,2015,"0935","Wednesday","Prop. Damage",2,0,0,0,"NW","N","Within 100ft of Intersection","Side Swiped","Rain","Medium","Two-Way, Divided Unprotected","Signal","20TH ST NW / MASSACHUSETTS AVE NW",0,38.91014,-77.04489,"","","9",2015-03-04 09:35:00
15042406,2015-03-26,2015,"2338","Thursday","",2,0,0,0,"NW","N","At Intersection","Side Swiped","Rain","Medium","Two-Way, Not Divided","Signal","20TH ST NW / P ST NW",1,38.90964,-77.04489,"","","23",2015-03-26 23:38:00
15043584,2015-03-29,2015,"48","Sunday","Prop. Damage",2,0,0,0,"NW","N","Within 100ft of Intersection","Other","Clear","Light","One-Way, Not Divided","None","20TH ST NW / S ST NW",1,38.9141,-77.04489,"","","",NA
15035268,2015-03-13,2015,"1030","Friday","",2,0,0,175,"NW","N","Not at Intersection","Side Swiped","Clear","Unknown","Two-Way, Not Divided","None","1821 WYOMING AVENUE NW",75,38.918936,-77.04244,"","","10",2015-03-13 10:30:00
15029217,2015-03-01,2015,"1505","Sunday","Prop. Damage",2,0,0,0,"NW","N","At Intersection","Left Turn Hit Veh.","Other","Light","One-Way, Not Divided","Signal","20TH ST NW / M ST NW",0,38.905651,-77.044901,"Yes","","15",2015-03-01 15:05:00
15031308,2015-03-06,2015,"1105","Friday","",2,0,0,0,"NW","N","Not at Intersection","Side Swiped","Clear","Medium","One-Way, Not Divided","None","515 20TH ST NW",0,38.896277,-77.044811,"","","11",2015-03-06 11:05:00
15029931,2015-03-03,2015,"0723","Tuesday","Prop. Damage",2,0,0,0,"NW","N","Within 100ft of Intersection","Left Turn Hit Veh.","Clear","Heavy","One-Way, Not Divided","Signal","20TH ST NW / H ST NW",0,38.899574,-77.044909,"","","7",2015-03-03 07:23:00
15031781,2015-03-07,2015,"0416","Saturday","Prop. Damage",2,0,0,0,"NW","N","Not at Intersection","Parked Vehicle","Clear","Light","One-Way, Not Divided","Unknown","1700 L ST NW",0,38.903334,-77.044374,"","","4",2015-03-07 04:16:00
15042913,2015-03-27,2015,"2036","Friday","",2,0,0,200,"NW","N","Not at Intersection","Side Swiped","Clear","Medium","Two-Way, Not Divided","None","1812 WYOMING AVE NW",1,38.918521,-77.042468,"","","20",2015-03-27 20:36:00
15038884,2015-03-20,2015,"1630","Friday","Prop. Damage",2,0,0,0,"NW","N","Within 100ft of Intersection","Side Swiped","Rain","Medium","One-Way, Not Divided","None","800 20TH ST NW",15,38.899717,-77.044967,"","","16",2015-03-20 16:30:00
15042076,2015-03-26,2015,"1402","Thursday","Prop. Damage",2,1,0,40,"NW","N","Within 100ft of Intersection","Left Turn Hit Veh.","Clear","Light","Two-Way, Divided Unprotected","None","1792 COLUMBIA RD NW",2,38.922649,-77.042313,"","","14",2015-03-26 14:02:00
15033469,2015-03-10,2015,"1348","Tuesday","Prop. Damage",2,0,0,0,"NW","N","Within 100ft of Intersection","Head On","Rain","","Two-Way, Not Divided","Signal","21ST ST NW / K ST NW",2,38.90265,-77.04665,"","","13",2015-03-10 13:48:00
15032354,2015-03-08,2015,"1030","Sunday","Prop. Damage",2,0,0,1,"NW","N","At Intersection","Rear End","Clear","Light","Two-Way, Not Divided","Signal","2033 M ST NW",1,38.905949,-77.04628,"","","10",2015-03-08 10:30:00
15040870,2015-03-24,2015,"0841","Tuesday","Prop. Damage",2,0,0,0,"NW","N","At Intersection","Left Turn Hit Veh.","Clear","Medium","Two-Way, Divided Unprotected","Signal","CONNECTICUT AVENUE NW",9,38.916029,-77.046873,"","","8",2015-03-24 08:41:00
15044382,2015-03-30,2015,"1714","Monday","Prop. Damage",2,0,0,0,"NW","N","Not at Intersection","Rear End","Clear","Heavy","One-Way, Not Divided","Signal","21ST ST NW / C ST NW",0,38.8935,-77.04668,"","","17",2015-03-30 17:14:00
15033881,2015-03-11,2015,"1010","Wednesday","Prop. Damage",2,0,0,0,"NW","N","Within 100ft of Intersection","Right Turn Hit Veh.","Clear","Medium","Two-Way, Divided Positive","Signal","1900 BK CONN. AVE NW",3,38.915992,-77.04689,"","","10",2015-03-11 10:10:00
15038933,2015-03-20,2015,"1725","Friday","",2,0,0,0,"NW","N","At Intersection","Left Turn Hit Veh.","Rain","Heavy","One-Way, Not Divided","Signal","21ST ST NW / K ST NW",1,38.90265,-77.04665,"","","17",2015-03-20 17:25:00
15040127,2015-03-22,2015,"1955","Sunday","Injury",2,1,0,0,"NW","N","At Intersection","Other","Clear","Light","One-Way, Not Divided","Stop Sign","21ST ST NW / Q ST NW",0,38.91113,-77.04663,"","","19",2015-03-22 19:55:00
15032986,2015-03-09,2015,"1611","Monday","",2,0,0,10,"NW","N","At Intersection","Rear End","Clear","","Two-Way, Divided Positive","","1808 CONNECTICUT AVENUE NW",19,38.914551,-77.046603,"","","16",2015-03-09 16:11:00
15038387,2015-03-19,2015,"1729","Thursday","Prop. Damage",2,0,0,0,"NW","N","Within 100ft of Intersection","Right Turn Hit Veh.","Clear","Medium","Two-Way, Not Divided","Signal","CONNECTICUT AVE NW / FLORIDA AVE NW",1,38.914376,-77.046171,"Yes","","17",2015-03-19 17:29:00
15040983,2015-03-24,2015,"1210","Tuesday","Prop. Damage",2,0,0,0,"NW","Y","At Intersection","Right Turn Hit Veh.","Clear","Medium","Two-Way, Not Divided","Stop Sign","1900 S STREET NW",0,38.913923,-77.043771,"","","12",2015-03-24 12:10:00
15032423,2015-03-08,2015,"1331","Sunday","Prop. Damage",2,0,0,40,"NW","N","Within 100ft of Intersection","Side Swiped","Clear","Light","Two-Way, Not Divided","None","1933 19TH STREET NW",1,38.916836,-77.043584,"","","13",2015-03-08 13:31:00
15038911,2015-03-20,2015,"1725","Friday","Prop. Damage",2,0,0,0,"NW","N","Within 100ft of Intersection","Side Swiped","Clear","Medium","Two-Way, Divided Unprotected","None","720 H STREET NW",10,38.899317,-77.043768,"","","17",2015-03-20 17:25:00
15044911,2015-03-31,2015,"1637","Tuesday","Prop. Damage",2,0,0,0,"NW","N","At Intersection","Side Swiped","Rain","Heavy","One-Way, Not Divided","Signal","2033 M STREET NW",0,38.905905,-77.046282,"","","16",2015-03-31 16:37:00
15040526,2015-03-23,2015,"1600","Monday","Prop. Damage",2,0,0,60,"NW","N","Within 100ft of Intersection","Backing Hit Parked Veh.","Clear","Medium","Other","None","1607 CONNECTICUT AVE NW",0,38.911594,-77.044113,"","","16",2015-03-23 16:00:00
15044832,2015-03-31,2015,"1435","Tuesday","Prop. Damage",2,0,0,0,"NW","N","At Intersection","Right Turn Hit Veh.","Clear","Medium","","None","COLUMBIA RD NW / MINTWOOD PL NW",5,38.9211,-77.0437,"","","14",2015-03-31 14:35:00
15037636,2015-03-18,2015,"0910","Wednesday","Prop. Damage",2,0,0,0,"NW","N","At Intersection","Right Turn Hit Veh.","Clear","Medium","One-Way, Not Divided","Signal","DUPONT CIR NW / NEW HAMPSHIRE AVE NW",2,38.909147,-77.043913,"","","9",2015-03-18 09:10:00
15031087,2015-03-05,2015,"1720","Thursday","Prop. Damage",2,0,0,0,"NW","N","At Intersection","Side Swiped","Snow","Medium","Two-Way, Not Divided","Signal","1900 PENNSYLVANIA AVENUE NW",1,38.900096,-77.044176,"","","17",2015-03-05 17:20:00
15039188,2015-03-21,2015,"0506","Saturday","Prop. Damage",2,0,0,0,"NW","N","Not at Intersection","Side Swiped","Clear","Unknown","One-Way, Not Divided","None","514 19TH STREET NW",1,38.896573,-77.043722,"Yes","","5",2015-03-21 05:06:00
15038150,2015-03-19,2015,"0910","Thursday","Injury",1,1,0,1,"NW","N","At Intersection","19","Clear","Medium","One-Way, Not Divided","None","1200 19TH ST NW",1,38.906109,-77.043915,"","","9",2015-03-19 09:10:00
15035972,2015-03-14,2015,"2356","Saturday","",2,0,0,0,"NW","Y","Not at Intersection","Rear End","Clear","Heavy","Two-Way, Divided Positive","None","ADAMS MILL RD NW / CALVERT ST NW",1,38.923264,-77.043612,"","","23",2015-03-14 23:56:00
15039719,2015-03-22,2015,"0103","Sunday","Injury",1,1,0,0,"NW","Y","Within 100ft of Intersection","Right Turn Hit Ped.","Clear","Heavy","","Signal","FLORIDA AVE NW / T ST NW",597,38.91555,-77.044065,"","","1",2015-03-22 01:03:00
15038315,2015-03-18,2015,"1500","Wednesday","",1,1,0,0,"NW","N","At Intersection","Right Turn Hit Ped.","Clear","","One-Way, Not Divided","Stop Sign","1300 19TH STREET NW",1,38.907459,-77.043976,"","","15",2015-03-18 15:00:00
15042157,2015-03-26,2015,"1615","Thursday","Injury",2,1,0,0,"NW","N","At Intersection","Other","Clear","Medium","Two-Way, Divided Positive","Signal","1300 CONNECTICUT AVENUE NW",1,38.907511,-77.042671,"","","16",2015-03-26 16:15:00
15030273,2015-03-03,2015,"1905","Tuesday","Prop. Damage",2,0,0,0,"NW","N","Not at Intersection","Side Swiped","Rain","Medium","","None","1850 M STREET NW",0,38.905362,-77.042948,"","","19",2015-03-03 19:05:00
15036913,2015-03-16,2015,"2125","Monday","Prop. Damage",2,0,0,0,"NW","N","Within 100ft of Intersection","Side Swiped","Clear","Light","Two-Way, Divided Unprotected","Signal","1800 massachusettes ave nw",1,38.908772,-77.042267,"","","21",2015-03-16 21:25:00
15043093,2015-03-28,2015,"0231","Saturday","Prop. Damage",2,0,0,0,"NW","N","Not at Intersection","Rear End","Clear","Medium","Two-Way, Divided Unprotected","Signal","1825 FLORIDA AVE NW",1,38.916486,-77.042681,"","","2",2015-03-28 02:31:00
15037715,2015-03-18,2015,"1215","Wednesday","Injury",2,1,0,40,"NW","N","Within 100ft of Intersection","Rear End","Clear","Medium","","Signal","1300 CONNECTICUT AVE NW",0,38.907528,-77.042709,"","","12",2015-03-18 12:15:00
15029977,2015-03-03,2015,"0923","Tuesday","Prop. Damage",2,0,0,0,"","N","At Intersection","Left Turn Hit Veh.","Clear","Medium","One-Way, Not Divided","Signal","19TH ST &   I ST",0,38.901331,-77.043459,"","","9",2015-03-03 09:23:00
15042292,2015-03-26,2015,"1935","Thursday","Injury",2,1,0,0,"NW","N","Within 100ft of Intersection","Left Turn Hit Ped.","Rain","Medium","Two-Way, Not Divided","Signal","1921 19TH STREET NW",0,38.916483,-77.043321,"","","19",2015-03-26 19:35:00
15030734,2015-03-04,2015,"1920","Wednesday","",2,0,0,10,"NW","N","At Intersection","Side Swiped","Rain","Medium","One-Way, Not Divided","Signal","DUPONT CIR NW / MASSACHUSETTS AVE NW",2,38.909082,-77.043324,"","","19",2015-03-04 19:20:00
15038973,2015-03-20,2015,"1920","Friday","",2,0,0,0,"NW","N","At Intersection","Side Swiped","Clear","Medium","One-Way, Not Divided","Signal","DUPONT CIR NW / MASSACHUSETTS AVE NW",0,38.909082,-77.043324,"","","19",2015-03-20 19:20:00
15037321,2015-03-17,2015,"1720","Tuesday","",1,1,0,0,"NW","N","At Intersection","Straight Hit Ped.","Clear","Heavy","One-Way, Not Divided","Signal","CONNECTICUT AVE NW AND DUPONT CIRCLE NW",0,38.90902,-77.043425,"","","17",2015-03-17 17:20:00
15034793,2015-03-12,2015,"2254","Thursday","Prop. Damage",2,0,0,0,"NW","N","At Intersection","Right Angle","Clear","Light","Two-Way, Divided Positive","Signal","19TH ST NW / C ST NW",6,38.89352,-77.04347,"","","22",2015-03-12 22:54:00
15039055,2015-03-20,2015,"2304","Friday","Prop. Damage",2,0,0,0,"NW","N","At Intersection","Right Turn Hit Veh.","Clear","Medium","One-Way, Not Divided","Signal","19TH ST NW / M ST NW",0,38.905656,-77.043452,"","","23",2015-03-20 23:04:00
15040314,2015-03-23,2015,"0840","Monday","Prop. Damage",2,1,0,0,"NW","N","At Intersection","Other","Clear","Light","Two-Way, Divided Unprotected","Stop Sign","19TH ST NW / S ST NW",3,38.9141,-77.04343,"Yes","","8",2015-03-23 08:40:00
